#{"t_start": 1620582685.2200034, "env_id": "procgen-fruitbot-v0"}
r,l,t
0.0,58,1.667555
0.0,72,1.824927
-11.0,96,2.024782
-4.0,94,2.872745
-10.0,87,3.045686
-3.0,173,3.594048
-3.0,65,3.724546
-1.0,144,4.210198
1.0,66,4.349143
1.0,72,4.497367
-8.0,72,4.642162
-4.0,58,4.9658
1.0,87,5.170973
-8.0,72,5.333416
-4.0,58,5.453776
1.0,72,5.790999
-4.0,58,5.905335
-8.0,58,6.022529
-3.0,51,6.121744
1.0,94,6.539581
0.0,80,6.700215
-3.0,80,6.866115
0.0,58,7.180562
2.0,110,7.413228
2.0,61,7.551388
2.0,101,8.057728
2.0,65,8.186591
0.0,51,8.292299
2.0,101,8.674987
2.0,72,8.825075
-12.0,59,8.946132
0.0,51,9.047368
2.0,77,9.400583
0.0,123,9.654375
-4.0,72,9.809298
-3.0,46,9.903133
0.0,51,10.196096
0.0,144,10.499418
-3.0,80,10.846744
-3.0,116,11.07405
1.0,70,11.21882
0.0,44,11.313303
-6.0,87,11.6812
1.0,65,11.822909
0.0,108,12.043873
2.0,101,12.458159
2.0,105,12.669091
2.0,95,13.054578
-4.0,72,13.196298
-7.0,72,13.393228
-2.0,87,13.769866
-8.0,152,14.059398
-3.0,176,14.594057
1.0,72,14.736073
-4.0,103,15.138468
-10.0,144,15.453336
2.0,61,15.577279
-4.0,72,15.913908
-3.0,88,16.092144
1.0,72,16.24002
1.0,108,16.693565
1.0,65,16.82756
1.0,108,17.050251
-4.0,69,17.391251
-3.0,77,17.553063
-1.0,94,17.742904
-8.0,87,18.111807
0.0,44,18.198415
3.0,72,18.345105
0.0,101,18.565235
1.0,58,18.87124
-3.0,99,19.079279
1.0,80,19.247486
-3.0,173,19.797852
1.0,108,20.02015
0.0,108,20.450405
-4.0,72,20.599599
1.0,72,20.7484
-4.0,80,21.110719
-12.0,72,21.257941
1.0,46,21.351173
-7.0,95,21.748472
-2.0,58,21.860706
1.0,67,22.006431
0.0,72,22.149579
1.0,94,22.541657
0.0,58,22.657666
-3.0,72,22.808188
1.0,58,22.931238
-3.0,65,23.264156
-3.0,89,23.449342
2.0,101,23.659075
-4.0,108,24.081357
-12.0,152,24.385134
-4.0,58,24.704654
-12.0,58,24.829204
-4.0,58,24.946668
0.0,65,25.073871
2.0,57,25.382482
1.0,72,25.532271
-7.0,72,25.674231
-2.0,94,26.065499
1.0,72,26.213326
-7.0,80,26.379397
-7.0,87,26.758532
3.0,94,26.952169
-7.0,65,27.08185
0.0,65,27.21356
-7.0,58,27.54359
-4.0,101,27.754646
-3.0,72,27.906744
0.0,108,28.317516
1.0,80,28.477981
1.0,80,28.650227
-3.0,72,28.98218
-4.0,72,29.12062
3.0,44,29.207181
-4.0,101,29.400114
1.0,72,29.752159
-4.0,101,29.955492
0.0,87,30.132957
